Reference,Spec_Binom,Family,Class,Place,Lon,Lat,Place_Notes,Start,End,,Notes
"King & Dallimer, 2010",Epomops_franqueti,Pteropodidae,1,poly,15.28,-3.16,Lesio-Louna,1,3,,
"King & Dallimer, 2010",Epomops_franqueti,Pteropodidae,1,poly,15.28,-3.16,Lesio-Louna,7,9,,
"Okia, 1974",Epomops_franqueti,Pteropodidae,1,point,32,0.5,"Entebbe, Uganda",9,10,,
"Okia, 1974",Epomops_franqueti,Pteropodidae,1,point,32,0.5,"Entebbe, Uganda",3,4,,
"Kingdon, 1974",Hypsignathus_Monstrosus ,Pteropodidae,1,poly,30.02,7.34,"Congo, Gambon, Bwamba*",2,3,,"*placeholder coords set to ""bwamba Uganda"""
"Kingdon, 1974",Hypsignathus_Monstrosus ,Pteropodidae,1,poly,30.02,7.34,"Congo, Gambon, Bwamba*",7,8,,"*placeholder coords set to ""bwamba Uganda"""
"Wolton et al., 1982",Hypsignathus_Monstrosus ,Pteropodidae,1,poly,-8.41,7.62,Mount Nimbia Liberia,8,10,,Peak fo the rainy season
"Wolton et al., 1982",Hypsignathus_Monstrosus ,Pteropodidae,1,poly,-8.41,7.62,Mount Nimbia Liberia,11,12,,peak at the end of the rains
"Bergmans, 1979",Micropteropus_pusillus,Pteropodidae,1,poly,12.86,-3.18,Congo* Averaged from shapefile centroids,2,3,,
"Bergmans, 1979",Micropteropus_pusillus,Pteropodidae,1,poly,12.86,-3.18,Congo*Averaged from shapefile centroids,9,10,,
Okia 1987,Micropteropus_pusillus,Pteropodidae,1,point,34,1.3,"Sore, Ughanda",3,4,,
"Vershuren, 1957",Micropteropus_pusillus,Pteropodidae,1,poly,29.34,4.13,North Eastern Ziare *point taken from what is now Parc National de la Garamba,11,12,,Paper in French (info derived from Owen-Ashley)
"Vershuren, 1957",Micropteropus_pusillus,Pteropodidae,1,poly,29.34,4.13,North Eastern Ziare *point taken from what is now Parc National de la Garamba,3,3,,
"Thomas & Marshall, 1984",Micropteropus_pusillus,Pteropodidae,1,poly,-5.02,6.13,Lamto,3,5,,Major and Minor Rains
"Thomas & Marshall, 1984",Micropteropus_pusillus,Pteropodidae,1,poly,-5.02,6.13,Lamto,9,11,,Major and Minor Rains
"Marshall & McWilliams, 1982",Micropteropus_pusillus,Pteropodidae,1,point,-1.75,10,Mole National Park N.E. Ghana,4,5,,Beging of rains
