Coefficients,estimate,2.5,97.5,p.value
Intercept,-29.81,-41.62,-18.01,<0.01
$\beta_1 \mathrm{OB}_{\mathrm{an}}$,5.22,2.52,7.92,<0.01
$\beta_2\mathrm{OB}_{\mathrm{an}_{t-1}}$,1.98,-1.67,5.63,0.29
$\beta_3 \logplus(NBM div)$,5.6,3.01,8.19,<0.01
$\beta_4 \logplus(PopDen)$,-0.23,-0.61,0.16,0.24
$\beta_5 \logplus(fragIndex)$,-0.21,-0.9,0.47,0.54
